Store Number,Store Name,Address,Latitude,Longitude
3925,Allen Solly Allen Solly Store,Marathahalli,0.000000,0.000000
4211,Allen Solly ALLEN SOLLY,"Allen Solly, West Krishna Plaza, Lakshmipuram Main Road, Guntur",16.312325,80.425270
11,Allen Solly AS Mainline Banjara Hills,"ALLEN SOLLY , Shop no:86, Ground floor, Road no:2, Near LV Prasad eye Hospital, Banjara hills, Hyderabad-500034 Telangana",28.570833,78.431580
19,Allen Solly Kukatpally,"Allen Solly, G1 Ground floor H, No MIG , 5, Road No 1, KPHP Colony, Kukatpally, Hyderabad , 500072",17.492832,78.402275
49,Allen Solly AS Mainline Himayathanagar,"Allen Solly, Shop No. 3-6-150, Himayatnagar, Hyderabad, Telangana - 500029",17.402250,79.483612
69,Allen Solly AS Mainline Dilsukhnagar,"Allen Solly No.17-109,Plot No.2&3,Chaitanyapuri,Dilsukhnagar,Hyd-500060,Telangana State",17.368639,78.388863
89,Allen Solly AS Mainline Habsiguda,"Allen Solly, H No1 - 31/1A, Block 3, Plot No 2/B, Part of G block, Habsiguda main road, Hyderabad - 500007",17.692528,78.915443
132,Allen Solly AS Mainline GVK Mall,"allen solly, shop no 7 & 8 gvk one mall 1st floor. banjara hills road no 1. 500032",17.419611,78.448303
133,Allen Solly AS Women Forum Sujana Mall,"Allen solly Womens, shop no 202 second floor forum sujana Mall kukatapally JNTU road ,hyderabad 500072, 040-30534141",17.483999,78.388863
134,Allen Solly AS Mainline Forum Sujana Mall,"Allen solly, #122,Forum Sujana Mall Kukkatpally, Hyderabad.AP 500072",17.483999,78.388863
135,Allen Solly AS Junior GVK,"ALLEN SOLLY JUNIOUR, Shop no:09, GVK Mall, Road no:01, Banjara Hills, Hyderabad-500034",17.420029,78.448196
1659,Allen Solly AS Mainline Kukatapally,"Allen Solly, G1 Ground floor H, No MIG - 5, Road No 1, KPHP Colony, Kukatpally, Hyderabad - 500072",17.492832,78.402275
4105,Allen Solly Allen Solly,"Allen solly,L3 04 &05, L&T Metro Mall( Next) B7 Nagarjuna Hills, Panjagutta, Hyderabad,Telangana 500082",18.520399,73.856697
61,Allen Solly AS Mainline Rajamudry,"Allen solly , SS Towers , Opp : greenpark restuarant , Danavaipeta , Rajahmundry . AP -533101.",17.006639,81.785278
9,Allen Solly AS Mainline Ripples Mall,"Allen Solly, Ripples Mall , Shop no: G0 6 GF, Mg road, Vijayawada -520010. ph no- 0866 2464025",16.506174,80.648018
96,Allen Solly AS Mainline Mogalarajapuram,"Allen Solly,D No.40-1-150, Beside MVR shopping Mall, MG Road, Vijayawada - 520 010",16.506174,80.648018
4611,Allen Solly Allen Solly,"Allen Solly, VSN one, VSN estates, D. No: 59-13-34/1A,Gayathri Nagar, Vijawada-520008",0.000000,0.000000
5,Allen Solly AS Mainline DABAGARDENS,"Allen Solly, City plaza building, 30-15-136, Dhaba garden main rd, dhaba garden Vizag-530020",17.715778,83.302109
57,Allen Solly AS Mainline Siripuram,"Allen solly Shop No 10-1-42 / A, CBM compound Up lands raod siripuram main road, Visakhapatam Andhra Prades 530003",17.724972,83.316193
74,Allen Solly AS Women GS Road,"Allen Solly NO. 125, Bora service Ulubari, GS road Guwahati, 781007",26.170584,91.762810
