Store Number,Store Name,Address,Latitude,Longitude
0693,Great Clips at Perris Market Place,"(Between Walmart & Baskin Robbins) 1820 N Perris BlvdSte 40 1820 N Perris Blvd Ste 40 Perris, CA 92571",33.809506636401274,-117.227518
9237,Great Clips at South Cove Commons,"(Next to Stop & Shop @ Rte 440) 218 Lefante Way 218 Lefante Way  Bayonne, NJ 07002",40.67145963640127,-74.104951
8179,Great Clips at Brookside Plaza,"(Next to Stater Bros., corner of Alabama St) 1546 Barton Rd 1546 Barton Rd  Redlands, CA 92373",34.05274763640127,-117.207559
9048,Great Clips at New City Stop & Shop Center,"(Across from Walgreens) 186 N Main St 186 N Main St  New City, NY 10956",0,0
2354,Great Clips at Union Plaza,"(Next to ShopRite) 2401 Route 22 WUnit 2S1 2401 Route 22 W Unit 2S1 Union, NJ 07083",40.69693763640127,-74.297325
3981,Great Clips at Morris Hills Shopping Center,"(Bow Tie Cinema & Blink Fitness Center) 3069 Rt 46 E 3069 Rt 46 E  Parsippany, NJ 07054",40.87422063640127,-74.422447
5747,Great Clips at Glendora Foothill Plaza," 451 W Foothill Blvd 451 W Foothill Blvd  Glendora, CA 91741",34.14154563640127,-117.872056
1637,Great Clips at Gateway East,"(Across from Municipal Bldg, by China City) 55 Mountain Blvd 55 Mountain Blvd  Warren, NJ 07059",40.623303636401275,-74.492751
8580,Great Clips at Orangecrest Plaza,"(Albertsons Center, at corner of Trautwein) 19510 Van Buren BlvdSte F6A 19510 Van Buren Blvd Ste F6A Riverside, CA 92508",33.89407863640127,-117.322267
2789,Great Clips at Gateway Point Center,"(Between Starbucks & LA Fitness) 1235 Foothill Blvd 1235 Foothill Blvd  La Verne, CA 91750",34.12323463640127,-117.779944
9121,Great Clips at Mews at Garwood,"(North Ave, across from Shop Rite) 504 North Ave 504 North Ave  Garwood, NJ 07027",40.657345636401274,-74.329414
2642,Great Clips at Parkway Plaza," 215 Glen Cove RdSte B 215 Glen Cove Rd Ste B Carle Place, NY 11514",40.75178963640127,-73.616075
7118,Great Clips at Sleepy's Center," 770 US Highway 1 N 770 US Highway 1 N  Iselin, NJ 08830",40.56757363640127,-74.298706
5766,Great Clips at Village Center at Rose,"(Next to Ralph's Grocery Store) 850 N Rose DrSte B 850 N Rose Dr Ste B Placentia, CA 92870",33.882872636401274,-117.842653
8714,Great Clips at Edgewater Harbor,"(By CVS, HomeGoods, Dunkin & Moe's) 1 Main St 1 Main St  Edgewater, NJ 07020",40.80789463640127,-73.991313
1498,Great Clips at Norco Village,"(Next to Stater Bros.) 2420 River RdSte 240 2420 River Rd Ste 240 Norco, CA 92860",33.91923663640127,-117.59
2365,Great Clips at Day Creek Marketplace,"(Next to Stater Bros.) 7210 Day Creek BlvdSte 115 7210 Day Creek Blvd Ste 115 Rancho Cucamonga, CA 91739",34.12677163640127,-117.538898
8153,Great Clips at Canyon Springs,"(Best Buy Shopping Center) 2712 Canyon Springs PkwySte D 2712 Canyon Springs Pkwy Ste D Riverside, CA 92507",33.94530863640127,-117.281542
9678,Great Clips at Aberdeen,"(Next to ShopRite) 318 Lloyd Rd 318 Lloyd Rd  Aberdeen, NJ 07747",40.400118636401274,-74.221343
8151,Great Clips at Gateway Village,"(Sprouts Market, next to Coffee Bean) 3626 Grand AveSte G 3626 Grand Ave Ste G Chino Hills, CA 91709",34.00727263640127,-117.728035
9038,Great Clips at Evergreen Plaza,"(In Pathmark & Dunkin Donut Plaza) 150 E Greaves Ln 150 E Greaves Ln  Staten Island, NY 10308",0,0
2980,Great Clips at Rio Rancho Town Center,"(Next to Starbucks & Golden Corral) 2047 Rancho Valley Dr. 2047 Rancho Valley Dr.  Pomona, CA 91766",34.03914563640127,-117.759331
1634,Great Clips at Hadley Center,"(In Kohl's & Target Center) 4917 Stelton Rd 4917 Stelton Rd  South Plainfield, NJ 07080",40.555273636401274,-74.429823
7088,Great Clips at Yucaipa Marketplace,"(Next to Starbucks in the Aldi Center) 34050 Yucaipa BlvdSte 100 34050 Yucaipa Blvd Ste 100 Yucaipa, CA 92399",34.03851663640127,-117.060949
9045,Great Clips at Lake Ridge Plaza,"(Next to A&P, Route 303 & Lake Rd) 3 Lake Ridge Plz 3 Lake Ridge Plz  Valley Cottage, NY 10989",41.12479763640127,-73.94279
0341,Great Clips at Upland Town Center,"(Foothill & San Antonio, in Sprouts Center) 901 W Foothill BlvdSte D 901 W Foothill Blvd Ste D Upland, CA 91786",34.112468636401275,-117.662856
5752,Great Clips at Corona Valley Marketplace," 7056 Archibald AveSte 101 7056 Archibald Ave Ste 101 Eastvale, CA 92880",33.96404163640127,-117.592162
8980,Great Clips at Garden Street Plaza,"(Across from Walgreens) 326 Garden StSte 104 326 Garden St Ste 104 Carlstadt, NJ 07072",40.845875636401274,-74.101057
8146,Great Clips at Campus Crossroads,"(Next to CVS, near CSUSB) 5244 N University PkwySte K 5244 N University Pkwy Ste K San Bernardino, CA 92407",34.18162263640127,-117.33025
9239,Great Clips at Allendale Town Center,"(By ACME Grocery & Village Pizza) 31 W Allendale Ave 31 W Allendale Ave  Allendale, NJ 07401",0,0
9118,Great Clips at Denville Square,"(Walgreens Shopping Center) 6 W Main St 6 W Main St  Denville, NJ 07834",40.897444636401275,-74.478476
9111,Great Clips at Riverdale Square,"(Near Target, next to blu alehouse & AT&T) 92 Route 23 N 92 Route 23 N  Riverdale, NJ 07457",40.99271563640127,-74.324201
2964,Great Clips at Hazlet Town Center," 3050 Route 35 3050 Route 35  Hazlet, NJ 07730",0,0
8135,Great Clips at De Anza Country Plaza,"(In the Stater Bros. Shopping Center) 7780 Limonite Ave 7780 Limonite Ave  Jurupa Valley, CA 92509",33.981724636401275,-117.453096
8718,Great Clips at Millburn Village,"(Next to Subway & Walgreens) 2933 Vauxhall Rd 2933 Vauxhall Rd  Vauxhall, NJ 07088",40.72554063640127,-74.288776
2848,Great Clips at Valley Mall,"(Between Kings & TJ Maxx) 977 Valley RdUnit F 977 Valley Rd Unit F Gillette, NJ 07933",0,0
8130,Great Clips at Morningside Marketplace,"(On Baseline Ave & Cherry Ave) 14584 Baseline AveSte 320 14584 Baseline Ave Ste 320 Fontana, CA 92336",34.126489636401274,-117.486658
8843,Great Clips at Plaza Square,"(Next to ShopRite) 667 Hamburg Tpke 667 Hamburg Tpke  Wayne, NJ 07470",40.959404636401274,-74.220766
8116,Great Clips at Mountain Gate Marketplace,"(Between Pickup Stix & Pizza Hut) 360 W Foothill PkwySte 104 360 W Foothill Pkwy Ste 104 Corona, CA 92882",33.84840363640127,-117.574856
8959,Great Clips at Arlington Plaza,"(Next to Foodtown) 23 Schuyler Ave 23 Schuyler Ave  North Arlington, NJ 07031",40.78293463640127,-74.130173
3078,Great Clips at Portofino Condominium Building," 1 2nd St 1 2nd St  Jersey City, NJ 07302",40.72595163640127,-74.035301
1628,Great Clips at Watchung Square Mall,"(Between Steinmart & Stop & Shop) 1511 Route 22 W 1511 Route 22 W  Watchung, NJ 07069",0,0
9361,Great Clips at Aviation Plaza,"(Behind Starbucks) 697 W Edgar Rd 697 W Edgar Rd  Linden, NJ 07036",40.62393463640127,-74.248981
1632,Great Clips at Shrewsbury Plaza,"(Between Acme & AC Moore) 170 Shrewsbury Plz 170 Shrewsbury Plz  Shrewsbury, NJ 07702",40.32018463640127,-74.065208
8155,Great Clips at Hidden Valley Plaza,"(Between Kohl's & Stater Bros.) 540 Hidden Valley PkwySte 105 540 Hidden Valley Pkwy Ste 105 Corona, CA 92879",33.90274263640127,-117.555807
2543,Great Clips at East Meadow Mall,"(Between Stew Leonard's & Marshalls) 1969 Front St 1969 Front St  East Meadow, NY 11554",40.726270636401274,-73.563152
8170,Great Clips at Redlands Village,"(Next to Stater Bros., corner of Wabash St) 1785 E Lugonia AveSte 101 1785 E Lugonia Ave Ste 101 Redlands, CA 92374",34.075547636401275,-117.139621
9215,Great Clips at Midstate Mall,"(Near ShopRite, across from NYSC) 300 Rte 18Unit 29 300 Rte 18 Unit 29 East Brunswick, NJ 08816",40.46138463640127,-74.39488
5785,Great Clips at San Dimas Marketplace,"(Next to Trader Joe's in Target Center) 844 W Arrow Hwy, Unit A 844 W Arrow Hwy, Unit A  San Dimas, CA 91773",34.108331636401275,-117.821498
