Store Number,Store Name,Address,Latitude,Longitude,Fresh Pizza,F'Real,E85,Fresh Food,Diesel,Wi-Fi,Seating,Open 24hrs,Redbox,eBlend,ATM,Pay at the Pump
0956,Kum & Go #0956,"215 E Lincolnway Cheyenne, WY 82001",41.133812,-104.812004,1,0,0,0,1,0,0,1,1,0,1,1
0952,Kum & Go #0952,"3354 E Lincolnway Cheyenne, WY 82001",41.13888,-104.768967,1,1,1,1,1,1,1,1,0,0,1,1
1957,Kum & Go #1957,"4505 Ridge Rd Cheyenne, WY 82001",41.15977,-104.76776,1,1,1,1,1,1,1,1,1,1,1,1
0964,Kum & Go #0964,"569 N 3rd St Laramie, WY 82070",41.317318,-105.592766,0,0,0,0,0,0,0,1,1,0,1,1
0966,Kum & Go #0966,"1115 N Higley Blvd Rawlins, WY 82301",41.7986679,-107.216393,1,0,0,0,1,0,0,1,1,0,1,1
0970,Kum & Go #0970,"312 S 1st St Saratoga, WY 82331",41.4521828,-106.807777,1,0,0,0,1,0,0,1,1,0,1,1
0958,Kum & Go #0958,"3 Curtiss St Evansville, WY 82636",42.85748,-106.270683,0,0,0,0,1,0,0,1,1,0,1,1
0954,Kum & Go #0954,"1455 S McKinley St Casper, WY 82601",42.8355675,-106.312332,0,0,0,0,1,0,0,1,1,0,1,1
0960,Kum & Go #0960,"1504 US Highway 14-16 Gillette, WY 82716",44.2911644,-105.478271,1,0,0,0,0,0,0,1,1,0,1,1
0961,Kum & Go #0961,"310 Skyline Dr Gillette, WY 82716",44.2913437,-105.531876,1,0,0,0,1,0,0,1,1,0,1,1
0959,Kum & Go #0959,"719 N US Highway 14-16 Gillette, WY 82716",44.30069,-105.52993,1,1,1,1,1,0,0,1,1,0,1,1
0953,Kum & Go #0953,"109 N Main St Buffalo, WY 82834",44.34911,-106.698807,0,0,0,0,1,0,0,0,1,0,1,1
0969,Kum & Go #0969,"1540 9th St Rock Springs, WY 82901",41.5978928,-109.206039,1,1,1,1,1,0,0,1,1,0,1,1
0968,Kum & Go #0968,"2004 Dewer Dr Rock Springs, WY 82901",41.5755577,-109.2475,0,0,0,0,1,0,0,1,0,0,1,1
0967,Kum & Go #0967,"1806 Elk St Rock Springs, WY 82901",41.617527,-109.2313,1,1,1,1,1,0,0,1,1,0,1,1
0979,Kum & Go #0979,"3910 Foothill Blvd Rock Springs, WY 82901",41.59708,-109.252608,1,1,1,1,1,0,0,1,0,1,1,1
0963,Kum & Go #0963,"1209 Beech St Kemmerer, WY 83101",41.78949,-110.539368,0,0,0,0,1,0,0,0,0,0,1,0
