Store Number,Store Name,Address,Latitude,Longitude,Fresh Pizza,F'Real,E85,Fresh Food,Diesel,Wi-Fi,Seating,Open 24hrs,Redbox,eBlend,ATM,Pay at the Pump
0573,Kum & Go #0573,"5830 SE 14th St Des Moines, IA 50315",41.5329,-93.5972061,1,1,1,1,1,0,0,1,1,1,1,1
0240,Kum & Go #0240,"530 North Ave Norwalk, IA 50211",41.4752769,-93.68178,1,1,1,0,1,0,0,1,1,0,1,1
0120,Kum & Go #0120,"6304 SW 9th St Des Moines, IA 50315",41.52725,-93.626353,1,1,1,1,1,1,1,1,1,1,1,1
0028,Kum & Go #0028,"2991 Sunset Dr Norwalk, IA 50211",41.4968033,-93.67447,1,1,1,0,1,0,0,1,1,0,1,1
0208,Kum & Go #0208,"3200 SE 14th St Des Moines, IA 50320",41.5552025,-93.59734,0,0,0,0,1,0,0,1,0,0,1,1
0194,Kum & Go #0194,"4001 SW 9th St Des Moines, IA 50315",41.54816,-93.62566,0,0,0,0,0,0,0,1,1,0,1,1
0076,Kum & Go #0076,"109 S 5th St Adair, IA 50002",41.4979935,-94.64361,1,0,0,0,1,0,0,1,0,0,1,1
2093,Kum & Go #2093,"409 Nile Kinnick Dr Adel, IA 50003",41.6141853,-94.01713,1,1,1,1,1,0,0,1,1,1,1,1
0095,Kum & Go #0095,"1203 Guthrie St De Soto, IA 50069",41.53867,-94.0120544,1,1,1,1,1,0,0,1,1,1,1,1
1202,Kum & Go #1202,"650 W Hickman Rd Waukee, IA 50263",41.61469,-93.88608,1,1,1,1,1,1,1,1,0,1,1,1
0059,Kum & Go #0059,"400 Prairie Bluff Dr Waukee, IA 50263",41.56489,-93.87957,1,1,1,1,1,0,0,1,1,1,1,1
0075,Kum & Go #0075,"350 SE University Ave Waukee, IA 50263",41.599987,-93.86535,1,1,1,1,1,0,0,0,1,1,1,1
0540,Kum & Go #0540,"3105 Grand Prairie Pkwy Waukee, IA 50263",41.57203,-93.85274,1,1,1,1,1,1,1,1,0,1,1,1
0156,Kum & Go #0156,"15600 Hickman Rd Clive, IA 50325",41.6143,-93.834404,1,1,0,0,0,0,0,1,1,0,1,1
0157,Kum & Go #0157,"4585 156th St Urbandale, IA 50323",41.6433945,-93.83307,1,1,1,1,1,0,0,0,1,1,1,1
3035,Kum & Go #3035,"7265 Vista Drive West Des Moines, IA 50266",41.589493,-93.807854,1,1,1,1,1,0,0,1,1,1,0,1
0074,Kum & Go #0074,"141 S Jordan Creek Pkwy West Des Moines, IA 50266",41.5678,-93.8101654,1,1,1,0,0,0,0,1,1,0,1,1
2091,Kum & Go #2091,"5969 Ashworth Rd West Des Moines, IA 50266",41.5850143,-93.78975,1,1,1,1,1,0,0,1,1,0,1,1
0518,Kum & Go #0518,"3603 NE Otter View Cir Ankeny, IA 50021",41.76112,-93.57197,1,1,1,1,1,0,0,1,1,1,1,1
0292,Kum & Go #0292,"1825 N Ankeny Blvd Ankeny, IA 50021",41.746685,-93.59982,1,1,1,1,1,0,0,1,1,0,1,1
0135,Kum & Go #0135,"303 W Broadway St Polk City, IA 50226",41.7719841,-93.71378,1,1,0,1,1,0,0,0,1,0,1,1
0092,Kum & Go #0092,"1025 E 1st St Ankeny, IA 50021",41.7313728,-93.58184,1,1,1,1,1,0,0,1,1,1,1,1
0579,Kum & Go #0579,"165 SW Magazine Rd Ankeny, IA 50023",41.7170677,-93.60117,1,1,1,1,1,0,0,1,1,1,1,1
4020,Kum & Go #4020,"1910 SW White Birch Cir Ankeny, IA 50023",41.70253418,-93.62653722,1,1,1,1,1,1,1,1,1,1,1,1
0570,Kum & Go #0570,"5800 Northglenn Dr Johnston, IA 50131",41.6826553,-93.6978149,1,1,1,1,1,0,0,0,0,1,1,1
0539,Kum & Go #0539,"5050 NW 2nd Ave Des Moines, IA 50313",41.65221,-93.62079,1,1,1,1,1,0,0,1,0,1,1,1
0062,Kum & Go #0062,"6130 NW 86th St Johnston, IA 50131",41.6717567,-93.73681,1,1,1,1,0,0,0,0,0,0,1,1
0237,Kum & Go #0237,"801 N 1st St Grimes, IA 50111",41.6885719,-93.78459,1,1,1,1,1,1,1,1,1,1,1,1
0129,Kum & Go #0129,"5225 NW 86th St Johnston, IA 50131",41.655632,-93.736,1,1,1,1,1,1,1,1,1,1,1,1
0184,Kum & Go #0184,"1430 1st Ave N Altoona, IA 50009",41.66352,-93.46535,1,1,1,1,1,1,1,1,0,1,1,1
0535,Kum & Go #0535,"4960 E Broadway Ave Des Moines, IA 50317",41.64476,-93.51507,1,1,1,1,1,1,1,1,0,1,1,1
0024,Kum & Go #0024,"5970 Morning Star Ct Pleasant Hill, IA 50317",41.5971336,-93.49263,1,1,1,1,1,0,0,1,1,0,1,1
4110,Kum & Go #4110,"2110 Guthrie Ave Des Moines, IA 50317",41.61535,-93.57904,1,1,1,1,1,0,0,1,1,1,1,1
0536,Kum & Go #0536,"1300 Keo Way Des Moines, IA 50309",41.59384,-93.63443,1,1,1,1,1,0,0,0,0,1,1,1
0214,Kum & Go #0214,"111 Duff Ave Ames, IA 50010",42.0235977,-93.61047,0,0,0,0,1,0,0,1,1,0,1,1
0216,Kum & Go #0216,"203 Welch Ave Ames, IA 50010",42.0213737,-93.65024,0,0,0,0,0,0,0,1,0,0,1,1
0113,Kum & Go #0113,"2801 E 13th St Ames, IA 50010",42.0347366,-93.5752258,1,0,1,0,1,0,0,1,0,1,1,1
0227,Kum & Go #0227,"2108 Isaac Newton Dr Ames, IA 50010",42.0087624,-93.58588,1,0,1,0,1,0,0,1,0,1,1,1
1215,Kum & Go #1215,"4506 Lincoln Way Ames, IA 50010",42.02233,-93.67931,1,1,1,1,1,1,1,1,0,1,1,1
0200,Kum & Go #0200,"4510 Mortensen Rd Ames, IA 50014",42.01193,-93.67883,1,1,0,0,1,0,0,1,1,0,1,1
0124,Kum & Go #0124,"1554 Broad St Story City, IA 50248",42.18745,-93.57633,1,0,0,0,1,0,0,1,1,0,1,1
0046,Kum & Go #0046,"1709 Antique City Dr Walnut, IA 51577",41.4948845,-95.22099,1,0,0,0,1,0,0,1,0,0,1,1
0032,Kum & Go #0032,"1200 N Walnut St Colfax, IA 50054",41.68705,-93.24657,1,1,1,1,1,0,0,1,0,1,1,1
1056,Kum & Go #1056,"101 E IA Highway 92 Bevington, IA 50033",41.36016,-93.79181,1,1,1,1,1,0,0,1,0,1,1,1
0246,Kum & Go #0246,"111 E Jefferson Winterset, IA 50273",41.33603,-94.01273,1,1,1,1,1,0,0,1,1,1,1,1
0043,Kum & Go #0043,"1453 County Highway G76 New Virginia, IA 50210",41.17709,-93.78159,1,0,0,0,1,0,0,1,1,0,1,1
0050,Kum & Go #0050,"745 S 51st St West Des Moines, IA 50265",41.5590172,-93.77287,0,0,0,0,1,0,0,1,1,0,1,1
