Store Number,Store Name,Address,Latitude,Longitude
3251,"Peter England Peter England Store, Adoni, AP","664 Ragavendra Colony, AAS College Road, Adoni",15.630361,77.287613
3407,"Peter England Peter England Store, Chittoor","Hno: 18-971,Prakasham High Road,ChittoorPh:- 0852-233568",13.217556,79.100830
3408,"Peter England Peter England Store, Chittorgarh, Rajasthan","16-17, Kailash Nagar, Maharana Pratap Setu Marg Chittorgarh",24.878721,74.622643
3519,"Peter England Peter England Store, Gudivada","D.V.S complex,eluru raod,gudivada,krishna district",16.437166,80.992500
3521,"Peter England Peter Engalnd Store, Brodipet Road, Guntur","Door No.5-98-31 & 32, Brodipet Main Road, Shankar Vilas Centre, Guntur - 522002",16.302389,80.439003
3535,"Peter England Peter England Store, Hanamkonda, Warangal","Shop No. 1,2,3,4, & 5, GVSR Plaza, Near Amrutha Talkies, Hanamkonda, Warangal - 506 011.",18.005501,79.572861
3549,"Peter England Peter England Store, Citi Center Mall, Hyderabad","Shop No. G-14, City Centre Mall, Road No. 1 & 10, Banjara Hill, Hyderabad - 500 034.",17.407249,78.443306
3550,"Peter England Peter England Store, A.S.Rao Nagar, Hyderabad","Mahesh Nagar, Dr. A.S.Rao Nagar, Hyderabad - 500 062.",17.476528,78.566940
3551,"Peter England Peter England Store, Ameerpet, Hyderabad","Ground Floor, 6-3-788/32, Vamsi Estate, Ameerpet, Hyderabad - 500 016.",17.431389,78.448555
3552,"Peter England Peter England Store, Himayat Nagar, Hyderabad","# G-4, Swetha Apartments, M C H No. 3-6-523, Himayathnagar, Hyderabad - 500 001.",17.401751,78.484886
3553,"Peter England Peter England Store, Kukatpally, Hyderabad","KMEG 5, Road No.1, KPHB Colony, Kukatpally, Hyderabad - 500 072",17.492695,78.402336
3554,"Peter England Peter England Store, Habsiguda, Hyderabad","Krishna's Trendset,Peter England Showroom,Premises No 4-7-152/1,Habdiguda,Nacharam Vilage,Uppal Mandal, Hyderabad - 500 076.",17.328472,78.577446
3555,"Peter England Peter England Store, Madinaguda, Hyderabad","No G7 & 8 , Krishna Residency, Madinaguda,Hyderabad-500050.",17.495472,78.344780
3556,"Peter England Peter England Store, Attapur Road, Hyderabad","Ground & First Floor, Shop No. 3-4-174/3/1, Attapur Main Road, Hyderabad - 500038.",17.382694,78.432083
3557,"Peter England Peter England Store, Forum Mall, Hyderabad","# 125, First Floor, Forum Sujana Mall, Kukatpally, Hyderabad - 500072.",17.484417,78.388779
3558,"Peter England Peter England Store, A.S.Rao Nagar, Hyderabad","G8,Vertex Pearl complex,Opp Radhika Theatre, Srinivas Nagar colony,AS Rao Nagar main Road Kapra PIN:500062",17.476528,78.566917
3559,"Peter England Peter England Store, Chandanagar, Hyderabad","Lubna Enterprises, Gangaram Chandanagar, 2- 105/1/F Near RS Brothers, Hyderabad",17.495861,78.333054
3605,"Peter England Peter England Store, Kadapa, AP","# 45/386/1, Beside Sub- Register office, Near ITI Circle, Balaji Nagar, Kadapa - 516 003, AP",14.464278,78.824028
3606,"Peter England Peter England Store, Subhash Road, Kakinada","D.No. 20-1-5, Sri Complex, Subhash Road, Kakinada Main Road, Kakinada - 533 005.",17.000250,82.279335
3614,"Peter England Peter England Store, CVRN RD, Karimnagar","3-1-59 to 62, CVRN Road, Opp. R & B Guest House, Karimnagar - 505 001",18.438889,79.128693
3615,"Peter England Peter England Store, Karkhana, Secunderabad","Survey no.59/1/2/1, Ground Floor Next to Food World, Bollaram Road, Karkhana, Secunderabad - 500015.",17.464111,78.502945
3644,"Peter England Peter England Store, MG Road, Kothagudem","D No. 5-14-107, M G Road, Kothagudem - 507101, Andhra Pradesh",17.556028,80.614388
3646,"Peter England Peter England Store, Saroor Nagar, Kothapet","Shop No. of Plot No.A, Sy.No.7/D, Ward No.11, Block No.13, Saroornagar Village, L.B.Nagar Municipality, R.R.Dist, Kothapet - 500035.",17.360945,78.544724
3652,"Peter England Peter England Store, Jyothi Mall, Kurnool","Sy No. 102/2, 103/1A, 103/2A, Dno 40-322 & 323, Jyothi Mall, Bellary Road, Kurnool - 518001.",15.830250,78.040276
3666,"Peter England Peter England Store, Madanapalle","# 16-2, Akbari Complex, CTM Road, Behind Axis Bank, Madanapalli",13.555306,78.509193
3671,"Peter England Peter England Store, Mahbubnagar","Picknic Circle,mettu Gadda,Mehabubnagar, Telangana",16.752722,78.011612
3733,"Peter England Peter England Store, Nandyal","# 28-688 D, TTD Road, Srinivas Nagar, Kalyana Mandapam, Nandyala - 518 501, AP",15.484278,78.483444
3743,"Peter England Peter England Store, Trunk Road, Nellore","#14/415 Trunk Road ,Potti Sriramulu ,NELLORE ,524001",14.454028,79.983749
